X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
102.023,118.251000026168,Layer 1,,,,,
101.882,118.11,Layer 1,,,,,
101.741,117.969000026168,Layer 1,,,,,
101.6,117.828,Layer 1,,,,,
101.3175,117.687000026168,Layer 1,,,,,
101.035,117.546,Layer 1,,,,,
100.894,117.405000026168,Layer 1,,,,,
100.753,117.2635,Layer 1,,,,,
100.612,117.122000026168,Layer 1,,,,,
100.471,116.981,Layer 1,,,,,
100.33,116.840000026168,Layer 1,,,,,
100.189,116.699,Layer 1,,,,,
100.0478,116.558000026168,Layer 1,,,,,
99.9066,116.417,Layer 1,,,,,
99.7655,116.276000026168,Layer 1,,,,,
99.6244,116.135,Layer 1,,,,,
99.48325,115.994000026168,Layer 1,,,,,
99.3421,115.8525,Layer 1,,,,,
99.201,115.711000026168,Layer 1,,,,,
99.0599,115.57,Layer 1,,,,,
98.9188,115.429000026168,Layer 1,,,,,
98.7777,115.288,Layer 1,,,,,
98.6366,115.147000026168,Layer 1,,,,,
98.4955,115.006,Layer 1,,,,,
98.3544,114.865000026168,Layer 1,,,,,
98.2133,114.7235,Layer 1,,,,,
98.07215,114.582000026168,Layer 1,,,,,
97.931,114.441,Layer 1,,,,,
97.7899,114.300000026168,Layer 1,,,,,
97.6488,114.159,Layer 1,,,,,
97.5077,114.018000026168,Layer 1,,,,,
97.3666,113.877,Layer 1,,,,,
97.2255,113.736000026168,Layer 1,,,,,
97.0844,113.595,Layer 1,,,,,
96.94325,113.454000026168,Layer 1,,,,,
96.8021,113.3125,Layer 1,,,,,
96.661,113.171000026168,Layer 1,,,,,
96.5199,113.03,Layer 1,,,,,
96.3788,112.889000026168,Layer 1,,,,,
96.2377,112.748,Layer 1,,,,,
96.0966,112.607000026168,Layer 1,,,,,
95.9555,112.466,Layer 1,,,,,
95.8144,112.325000026168,Layer 1,,,,,
95.6733,112.1835,Layer 1,,,,,
95.53215,112.042000026168,Layer 1,,,,,
95.391,111.901,Layer 1,,,,,
95.2499,111.760000026168,Layer 1,,,,,
95.1088,111.619,Layer 1,,,,,
94.9677,111.478000026168,Layer 1,,,,,
94.8266,111.337,Layer 1,,,,,
94.6855,111.196000026168,Layer 1,,,,,
94.5444,111.055,Layer 1,,,,,
94.40325,110.914000026168,Layer 1,,,,,
94.2621,110.6315,Layer 1,,,,,
94.121,110.349000026168,Layer 1,,,,,
93.9799,110.208,Layer 1,,,,,
93.8388,110.067000026168,Layer 1,,,,,
93.6977,109.926,Layer 1,,,,,
93.5566,109.785000026168,Layer 1,,,,,
93.4155,109.6435,Layer 1,,,,,
93.2744,109.502000026168,Layer 1,,,,,
93.1333,109.361,Layer 1,,,,,
92.99215,109.220000026168,Layer 1,,,,,
92.851,109.079,Layer 1,,,,,
92.5688,108.938000026168,Layer 1,,,,,
